Label,Message,Cleaned_Message
0,No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked.,boat still mom check yo half naked
1,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,bank granite issue strongbuy explosive pick member nasdaq symbol cdgt per
0,They r giving a second chance to rahul dengra.,r give second chance rahul dengra
0,O i played smash bros  &lt;#&gt;  religiously.,play smash bros ltgt religiously
1,PRIVATE! Your 2003 Account Statement for 07973788240 shows 800 un-redeemed S. I. M. points. Call 08715203649 Identifier Code: 40533 Expires 31/10/04,private account statement show unredeemed point call identifier code expire
0,"G says you never answer your texts, confirm/deny",g say never answer text confirmdeny
1,88066 FROM 88066 LOST 3POUND HELP,lose pound help
0,"Okey dokey, iÛ÷ll be over in a bit just sorting some stuff out.",okey dokey ill bit sort stuff
0,Why i come in between you people,come people
0,Wah lucky man... Then can save money... Hee...,wah lucky man save money hee
0,Much better now thanks lol,much well thank lol
0,"Madam,regret disturbance.might receive a reference check from DLF Premarica.kindly be informed.Rgds,Rakhesh,Kerala.",madamregret disturbancemight receive reference check dlf premaricakindly informedrgdsrakheshkerala
0,I'm coming home 4 dinner.,come home dinner
0,Ok...,ok
0,Can Ì_ all decide faster cos my sis going home liao..,decide fast cos sis go home liao
0,Hi mate its RV did u hav a nice hol just a message 3 say hello coz havenåÕt sent u 1 in ages started driving so stay off roads!RVx,hi mate rv u hav nice hol message say hello coz not send u age start drive stay roadsrvx
0,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-),amazing rearrange letter give meaning dormitory dirty room astronomer moon starer eye see election result lie let recount motherinlaw woman hitler eleven plus two twelve plus one amazing
0,Good Morning plz call me sir,good morning plz call sir
0,K actually can you guys meet me at the sunoco on howard? It should be right on the way,k actually guy meet sunoco howard right way
0,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",new theory argument win situation lose person not argue ur friend kick amp say always correct
0,Oh yeah! And my diet just flew out the window,oh yeah diet fly window
0,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",watch cartoon listen music amp eve go temple amp church u
0,If india win or level series means this is record:),india win level series mean record
0,Armand says get your ass over to epsilon,armand say get ass epsilon
0,TELL HER I SAID EAT SHIT.,tell say eat shit
0,"Oh, then your phone phoned me but it disconnected",oh phone phone disconnect
1,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,please call customer service representative freephone ampm guarantee cash prize
0,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*",hey sweet wonder moment might come want send file someone will not go yahoo connection suck remember set page go download format disc could tell know way download big file download stuff directly internet help would great prey teasing kiss
0,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,purity friendship two smile read forwarded messageit smile see name gud evng
1,Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net,hear u call night knicker make beg like u last time xx luv nikiyunet
0,You will be in the place of that man,place man
0,Welp apparently he retired,welp apparently retire
0,haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons,haha money leh later get go tuition haha look empty slot drive lesson
0,Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.,aiyar hard type u later free tell call n scold n tell u
0,K I'll call you when I'm close,k ill call close
0,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...,wat late still early mah juz go dinner lor aiya dunno
0,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...,yup paragon not decide whether cut yet hee
0,Watching tv now. I got new job :),watch tv get new job
1,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,private account statement show unredeemed bonus point claim call identifier code expire
0,Great! I have to run now so ttyl!,great run ttyl
0,"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*",hello love go day wish well fine babe hope find job prospect miss boytoy teasing kiss
0,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG,zoe hit fuck shitin il defo try hard cum morow luv u millions lekdog
0,if you text on your way to cup stop that should work. And that should be BUS,text way cup stop work bus
0,Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go,congratulations ore mo owo wa enjoy wish many happy moment fro wherever go
0,"Good morning, im suffering from fever and dysentry ..will not be able to come to office today.",good morning suffer fever dysentry able come office today
0,Tell me pa. How is pain de.,tell pa pain de
0,Got it. Seventeen pounds for seven hundred ml ÛÒ hope ok.,get seventeen pound seven hundred ml hope ok
0,I know complain num only..bettr directly go to bsnl offc nd apply for it..,know complain num onlybettr directly go bsnl offc nd apply
0,"Kate jackson rec center before 7ish, right?",kate jackson rec center ish right
0,K..k.:)congratulation ..,kkcongratulation
0,Whatsup there. Dont u want to sleep,whatsup not u want sleep
1,FROM 88066 LOST å£12 HELP,lose help
0,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",japanese proverb one u none itu must indian version one let none itleave finally kerala version one stop none make strike
0,The search 4 happiness is 1 of d main sources of unhappiness! Accept life the way it comes! U will find happiness in every moment u live.,search happiness main source unhappiness accept life way come u find happiness every moment u live
0,Ok...,ok
0,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!",faith make thing possiblehope make thing worklove make thing beautifulmay three christmasmerry christmas
0,Ok... C ya...,ok c ya
0,I'm in class. Will holla later,class holla later
1,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,buy space invader chance win orig arcade game console press game arcade std wap charge see ocoukgame term setting purchase
0,"The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel",house water dock boat roll newscaster dabble jazz flute behind wheel
0,Oh baby of the house. How come you dont have any new pictures on facebook,oh baby house come not new picture facebook
0,Thx. All will be well in a few months,thx well month
0,Gud mrng dear have a nice day,gud mrng dear nice day
0,Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.,yar wanted scold u y late already get zhong se qe u ask b ask ill go w u lor n u still act real
0,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",say slowly godi love amp need youclean heart bloodsend ten special people amp u c miracle tomorrow itplspls
0,Yes princess! I want to catch you with my big strong hands...,yes princess want catch big strong hand
0,"Wait, do you know if wesleys in town? I bet she does hella drugs!",wait know wesley town bet hella drug
0,No problem with the renewal. I.ll do it right away but i dont know his details.,problem renewal ill right away not know detail
0,"What part of \don't initiate\"" don't you understand""",part not initiate not understand
0,"MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night",moon come color dream star make musical sms give warm peaceful sleep good night
0,Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?,stand away not heart ache without not wonder not crave
1,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",urgent important information user today lucky day find log onto urlplaceholder fantastic surprise await
0,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible,oz guy kinda flaky one friend interested pick ltgt worth tonight possible
0,I am waiting machan. Call me once you free.,wait machan call free
0,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)",honeybee say sweetest world god laugh amp say waitu havnt meet person read msg moral even god crack joke gmgngegn
0,I AM AT THE GAS STATION. GO THERE.,gas station go
0,Yes ammae....life takes lot of turns you can only sit and try to hold the steering...,yes ammaelife take lot turn sit try hold steering
0,Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow,hmm shall bring bottle wine keep we amuse joke ill still bring bottle red white see tomorrow
0,"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*",sorry miss babe late sleep hope enjoy drive lesson boytoy miss teasing kiss
0,Ok... Thanx... Gd nite 2 Ì_ too...,ok thanx gd nite
1,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,polyphonic tone ur mob every week txt pt st tone free get txtin tell ur friend ptone reply hl info
0,"Nothing really, just making sure everybody's up to speed",nothing really make sure everybodys speed
0,I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ...,wish hold tightly make see important much mean much need life
0,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am,lol would mom would fit tell whole family crazy terrible
0,"Its good, we'll find a way",good well find way
0,"IåÕm cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x.",cool ta luv vtire cause doin load plan wk get social service inspection nursery take care spk sn x
0,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around",sorry light turn green mean another friend want ltgt worth may around
0,Que pases un buen tiempo or something like that,que pase un buen tiempo something like
0,Watching telugu movie..wat abt u?,watch telugu moviewat abt u
0,Mm you ask him to come its enough :-),mm ask come enough
